name,id,valueWinter,valueSummer,mixProperties,badMixProperties,triggeredEvents,notes
vodka,vodka,3,5,white,,"vodka,",
gin,gin,3,5,white,,,
rye,rye,7,2,dark,,,
rum,rum,5,7,white,,,
tequila,tequila,4,7,white,,,
bourbon,bourbon,4,4,dark,,,
cognac,cognac,6,3,dark,,phylloxera,
mezcal,mezcal,5,5,white,,,
scotch,scotch,7,1,dark,,,
spiced rum,spiced rum,4,6,spice,,,
akvavit,akvavit,4,4,spice,,,
grappa,grappa,3,5,white,,grappa,
applejack,applejack,6,5,dark,,,
sloe gin,sloe gin,6,4,dark,,,
baijiu,baijiu,1,1,white,,"baijiu,",
pisco,pisco,4,7,white,,,
